PRIM_STATE,mean_annual_salary
NY,"136,040"
FL,"104,740"
UT,"86,610"
OK,"88,310"
WA,"147,280"
NE,"91,560"
FL,"91,520"
WI,"100,690"
CA,"109,880"
FL,"107,150"
FL,"80,420"
IL,"101,110"
PA,"109,460"
AZ,"104,390"
PA,"86,910"
OR,"117,510"
FL,"102,010"
UT,"85,330"
NC,"118,000"
PA,"91,710"
CA,"108,130"
NV,"98,520"
VA,"126,890"
CA,"109,410"
VA,"82,770"
MN,"102,200"
NY,"95,770"
IL,"92,870"
CA,"105,450"
UT,"82,000"
MO,"87,850"
OR,"91,970"
CA,"101,530"
UT,"90,750"
TX,"103,520"
CA,"127,070"
CA,"152,080"
CA,"233,320"
PR,"60,760"
CA,"108,380"
CA,"114,540"
CA,"128,880"
CA,"121,310"
GA,"80,920"
PA,"78,940"
WA,"142,810"
WI,"89,880"
AZ,"92,210"
SD,"102,400"
IN,"76,950"
SC,"91,890"
WA,"132,120"
IL,"92,160"
MO,"70,410"
CA,"116,760"
NY,"92,180"
FL,"78,350"
FL,"99,360"
IN,"72,470"
OH,"68,780"
NJ,"134,670"
AZ,"100,230"
OK,"93,380"
TX,"77,150"
HI,"103,260"
NY,"92,860"
CA,"119,660"
VA,"101,260"
CA,"95,180"
TX,"77,860"
GA,"91,480"
DC,"126,160"
IA,"86,900"
WI,"104,060"
NC,"112,100"
NC,"107,930"
PA,"80,340"
OH,"80,960"
ME,"90,720"
MA,"121,230"
CT,"115,240"
VT,*
NH,"82,490"
CT,"107,740"
ME,"80,570"
NH,"96,700"
CT,"105,150"
ME,"101,470"
NH,"85,620"
RI,"116,370"
MA,"91,360"
MA,"99,080"
GA,"92,800"
MD,"76,980"
IL,"82,380"
CA,"81,550"
KY,"55,810"
NY,"101,740"
OR,"103,830"
CA,"88,920"
CA,"141,860"
CA,"114,500"
WA,"71,260"
VA,"114,300"
DC,*
MA,"81,920"
NY,"102,280"
NM,"80,550"
LA,"71,290"
PA,"64,020"
IA,"85,250"
AK,"89,180"
MI,"86,460"
NC,"81,400"
GA,"79,510"
GA,"64,800"
TX,"70,520"
CA,"81,170"
MD,"109,730"
LA,"76,010"
WA,"86,760"
OR,"85,770"
MT,"78,080"
ND,"78,040"
ID,"75,640"
CO,"119,150"
NY,"93,350"
FL,"57,970"
IL,"75,830"
SC,"92,090"
NC,"88,200"
VA,"66,450"
IL,"87,150"
CA,"67,960"
OH,"78,570"
OH,"76,330"
TX,"75,200"
CO,"82,050"
MO,"62,830"
OH,"79,950"
OR,"71,650"
FL,"60,930"
TX,"87,520"
IA,"77,950"
OH,"107,640"
FL,"56,000"
CO,"106,710"
IA,"82,130"
MI,"99,470"
NC,"92,210"
CA,"82,780"
OR,"77,570"
CO,"83,870"
CA,"85,380"
FL,"58,470"
MI,"90,310"
MS,"76,810"
PA,"79,200"
TX,"85,850"
WV,"75,100"
IN,"72,700"
IA,"66,040"
MS,"78,610"
FL,"62,350"
MO,"76,420"
