"","NAICS_TITLE","A_MEAN","category"
"248","Computer and Electronic Product Manufacturing","130,310","Manufacturing and Construction"
"249","Computer and Electronic Product Manufacturing","132,630","Manufacturing and Construction"
"250","Computer and Electronic Product Manufacturing","123,180","Manufacturing and Construction"
"251","Computer and Electronic Product Manufacturing","138,430","Manufacturing and Construction"
"252","Computer and Electronic Product Manufacturing","138,430","Manufacturing and Construction"
"253","Computer and Electronic Product Manufacturing","235,650","Manufacturing and Construction"
"254","Computer and Peripheral Equipment Manufacturing","149,930","Manufacturing and Construction"
"255","Computer and Peripheral Equipment Manufacturing","231,150","Manufacturing and Construction"
"256","Computer and Peripheral Equipment Manufacturing","158,350","Manufacturing and Construction"
"257","Computer and Peripheral Equipment Manufacturing","158,350","Manufacturing and Construction"
"258","Communications Equipment Manufacturing","104,070","Manufacturing and Construction"
"259","Communications Equipment Manufacturing","115,430","Manufacturing and Construction"
"260","Communications Equipment Manufacturing","100,950","Manufacturing and Construction"
"261","Communications Equipment Manufacturing","100,950","Manufacturing and Construction"
"262","Audio and Video Equipment Manufacturing","106,610","Manufacturing and Construction"
"263","Semiconductor and Other Electronic Component Manufacturing","114,790","Manufacturing and Construction"
"264","Semiconductor and Other Electronic Component Manufacturing","111,560","Manufacturing and Construction"
"265","Semiconductor and Other Electronic Component Manufacturing","96,600","Manufacturing and Construction"
"266","Semiconductor and Other Electronic Component Manufacturing","148,270","Manufacturing and Construction"
"267","Semiconductor and Other Electronic Component Manufacturing","148,270","Manufacturing and Construction"
"268","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","115,780","Manufacturing and Construction"
"269","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","110,820","Manufacturing and Construction"
"270","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","141,000","Manufacturing and Construction"
"271","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","121,190","Manufacturing and Construction"
"272","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","121,190","Manufacturing and Construction"
"273","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","235,650","Manufacturing and Construction"
"274","Manufacturing and Reproducing Magnetic and Optical Media","91,920","Manufacturing and Construction"
"275","Electrical Equipment, Appliance, and Component Manufacturing","85,240","Manufacturing and Construction"
"276","Electrical Equipment, Appliance, and Component Manufacturing","95,000","Manufacturing and Construction"
"277","Electrical Equipment, Appliance, and Component Manufacturing","86,110","Manufacturing and Construction"
"278","Electrical Equipment, Appliance, and Component Manufacturing","86,110","Manufacturing and Construction"
"279","Household Appliance Manufacturing","80,350","Manufacturing and Construction"
"280","Household Appliance Manufacturing","80,350","Manufacturing and Construction"
"281","Electrical Equipment Manufacturing","103,130","Manufacturing and Construction"
"282","Other Electrical Equipment and Component Manufacturing","90,430","Manufacturing and Construction"
"283","Other Electrical Equipment and Component Manufacturing","90,430","Manufacturing and Construction"
"284","Transportation Equipment Manufacturing","110,760","Manufacturing and Construction"
"285","Transportation Equipment Manufacturing","111,590","Manufacturing and Construction"
"286","Transportation Equipment Manufacturing","114,180","Manufacturing and Construction"
"287","Transportation Equipment Manufacturing","110,930","Manufacturing and Construction"
"288","Transportation Equipment Manufacturing","110,930","Manufacturing and Construction"
"289","Motor Vehicle Manufacturing","143,320","Manufacturing and Construction"
"290","Motor Vehicle Manufacturing","100,990","Manufacturing and Construction"
"291","Motor Vehicle Manufacturing","107,020","Manufacturing and Construction"
"292","Motor Vehicle Manufacturing","107,020","Manufacturing and Construction"
"293","Motor Vehicle Parts Manufacturing","110,400","Manufacturing and Construction"
"294","Motor Vehicle Parts Manufacturing","97,070","Manufacturing and Construction"
"295","Motor Vehicle Parts Manufacturing","93,510","Manufacturing and Construction"
"296","Motor Vehicle Parts Manufacturing","93,510","Manufacturing and Construction"
"297","Aerospace Product and Parts Manufacturing","90,490","Manufacturing and Construction"
"298","Aerospace Product and Parts Manufacturing","114,780","Manufacturing and Construction"
"299","Aerospace Product and Parts Manufacturing","128,630","Manufacturing and Construction"
"300","Aerospace Product and Parts Manufacturing","115,380","Manufacturing and Construction"
"301","Aerospace Product and Parts Manufacturing","115,380","Manufacturing and Construction"
"302","Ship and Boat Building","87,110","Other Industries"
"303","Furniture and Related Product Manufacturing","80,350","Manufacturing and Construction"
"304","Furniture and Related Product Manufacturing","80,350","Manufacturing and Construction"
"305","Miscellaneous Manufacturing","101,520","Manufacturing and Construction"
"306","Miscellaneous Manufacturing","98,960","Manufacturing and Construction"
"307","Miscellaneous Manufacturing","144,690","Manufacturing and Construction"
"308","Miscellaneous Manufacturing","108,690","Manufacturing and Construction"
"309","Miscellaneous Manufacturing","108,690","Manufacturing and Construction"
"310","Miscellaneous Manufacturing","99,780","Manufacturing and Construction"
"311","Medical Equipment and Supplies Manufacturing","104,990","Manufacturing and Construction"
