NAICS_TITLE,A_MEAN
"Machinery, Equipment, and Supplies Merchant Wholesalers","90,250"
"Machinery, Equipment, and Supplies Merchant Wholesalers","88,090"
"Machinery, Equipment, and Supplies Merchant Wholesalers","88,090"
Farm and Garden Machinery and Equipment Merchant Wholesalers,"103,690"
Farm and Garden Machinery and Equipment Merchant Wholesalers,"103,690"
"Merchant Wholesalers, Nondurable Goods","88,580"
"Merchant Wholesalers, Nondurable Goods","86,130"
"Merchant Wholesalers, Nondurable Goods","144,280"
"Merchant Wholesalers, Nondurable Goods","109,060"
"Merchant Wholesalers, Nondurable Goods","109,060"
"Merchant Wholesalers, Nondurable Goods","107,000"
"Apparel, Piece Goods, and Notions Merchant Wholesalers","109,500"
"Apparel, Piece Goods, and Notions Merchant Wholesalers","109,500"
Wholesale Trade Agents and Brokers,"72,270"
Wholesale Trade Agents and Brokers,"99,780"
Wholesale Trade Agents and Brokers,"124,210"
Wholesale Trade Agents and Brokers,"109,180"
Wholesale Trade Agents and Brokers,"109,180"
Wholesale Trade Agents and Brokers,"146,260"
Wholesale Trade Agents and Brokers,"72,270"
Wholesale Trade Agents and Brokers,"99,780"
Wholesale Trade Agents and Brokers,"124,210"
Wholesale Trade Agents and Brokers,"109,180"
Wholesale Trade Agents and Brokers,"109,180"
Wholesale Trade Agents and Brokers,"146,260"
Motor Vehicle and Parts Dealers,"127,420"
Motor Vehicle and Parts Dealers,"121,540"
Motor Vehicle and Parts Dealers,"121,540"
Automobile Dealers,"129,720"
Other Motor Vehicle Dealers,"109,580"
"Automotive Parts, Accessories, and Tire Retailers","143,290"
"Automotive Parts, Accessories, and Tire Retailers","143,290"
Building Material and Garden Equipment and Supplies Dealers,"108,830"
Building Material and Garden Equipment and Supplies Dealers,"108,830"
Building Material and Supplies Dealers,"109,220"
Building Material and Supplies Dealers,"109,220"
Food and Beverage Retailers,"41,900"
Food and Beverage Retailers,"66,950"
Food and Beverage Retailers,"66,950"
"Furniture, Home Furnishings, Electronics, and Appliance Retailers","63,660"
"Furniture, Home Furnishings, Electronics, and Appliance Retailers","81,420"
"Furniture, Home Furnishings, Electronics, and Appliance Retailers","104,930"
"Furniture, Home Furnishings, Electronics, and Appliance Retailers","104,930"
Furniture and Home Furnishings Retailers,"65,560"
Furniture and Home Furnishings Retailers,"76,290"
Furniture and Home Furnishings Retailers,"76,290"
General Merchandise Retailers,"58,740"
General Merchandise Retailers,"110,300"
General Merchandise Retailers,"132,130"
General Merchandise Retailers,"132,130"
General Merchandise Retailers,"58,740"
General Merchandise Retailers,"110,300"
General Merchandise Retailers,"132,130"
General Merchandise Retailers,"132,130"
Health and Personal Care Retailers,"92,690"
Health and Personal Care Retailers,"93,980"
Health and Personal Care Retailers,"100,810"
Health and Personal Care Retailers,"100,810"
Health and Personal Care Retailers,"92,690"
Health and Personal Care Retailers,"93,980"
Health and Personal Care Retailers,"100,810"
Health and Personal Care Retailers,"100,810"
Pharmacies and Drug Retailers,"75,310"
Pharmacies and Drug Retailers,"94,240"
Pharmacies and Drug Retailers,"91,460"
Pharmacies and Drug Retailers,"91,460"
Gasoline Stations and Fuel Dealers,"157,410"
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","86,850"
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","161,420"
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","161,420"
Clothing and Clothing Accessories Retailers,"92,730"
Clothing and Clothing Accessories Retailers,"164,030"
Clothing and Clothing Accessories Retailers,"164,030"
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","89,850"
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","74,510"
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","112,370"
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","108,060"
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","108,060"
"Sporting Goods, Hobby, and Musical Instrument Retailers","68,880"
"Sporting Goods, Hobby, and Musical Instrument Retailers","81,200"
"Sporting Goods, Hobby, and Musical Instrument Retailers","81,200"
Sporting Goods Retailers,"85,660"
Sporting Goods Retailers,"85,660"
Other Miscellaneous Retailers,"90,300"
Other Miscellaneous Retailers,"80,780"
Other Miscellaneous Retailers,"108,780"
